,SEASON_YEAR,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,FREQ,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS_y,TEAM_ID,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,E_PACE,E_DEF_RATING
39,2021-22,ATL,Atlanta Hawks,22100285,11/26/21,ATL @ MEM,41.45,90,0.461,0.462,-0.001,0.461,23.73,41.5,0.572,0.583,30.41,57.45,0.529,0.536,-0.006,1610612763,11.05,32.55,0.339,0.352,-0.012,103.1,106.2
64,2021-22,ATL,Atlanta Hawks,22100277,11/24/21,ATL @ SAS,42.52,90.3,0.471,0.459,0.012,0.442,22.78,39.91,0.571,0.583,29.26,54.96,0.532,0.534,-0.002,1610612759,13.26,35.35,0.375,0.35,0.025,102.4,110
22,2021-22,ATL,Atlanta Hawks,22100255,11/22/21,ATL vs. OKC,44.42,91.46,0.486,0.461,0.025,0.426,23.63,39,0.606,0.583,29.25,51.58,0.567,0.534,0.033,1610612760,15.17,39.88,0.38,0.354,0.027,100.8,110.2
43,2021-22,ATL,Atlanta Hawks,22100242,11/20/21,ATL vs. CHA,42.45,89.18,0.476,0.459,0.017,0.43,22.64,38.36,0.59,0.58,28.45,52.23,0.545,0.529,0.016,1610612766,14,36.95,0.379,0.352,0.027,102.3,111
58,2021-22,ATL,Atlanta Hawks,22100215,11/17/21,ATL vs. BOS,39.41,87.64,0.45,0.461,-0.011,0.411,20.09,36.05,0.557,0.58,27.73,53.23,0.521,0.532,-0.011,1610612738,11.68,34.41,0.339,0.352,-0.013,99,104
62,2021-22,ATL,Atlanta Hawks,22100202,11/15/21,ATL vs. ORL,40.55,89.5,0.453,0.458,-0.005,0.398,20.32,35.59,0.571,0.579,26.68,50.86,0.525,0.529,-0.004,1610612753,13.86,38.64,0.359,0.349,0.01,101.5,110.3
50,2021-22,ATL,Atlanta Hawks,22100193,11/14/21,ATL vs. MIL,43.91,91.82,0.478,0.465,0.013,0.345,19.36,31.68,0.611,0.586,28.41,52.27,0.543,0.534,0.009,1610612749,15.5,39.55,0.392,0.357,0.035,102.2,109.4
79,2021-22,ATL,Atlanta Hawks,22100182,11/12/21,ATL @ DEN,42.83,89.38,0.479,0.46,0.019,0.428,23.04,38.21,0.603,0.583,30.54,55.75,0.548,0.532,0.016,1610612743,12.29,33.63,0.366,0.351,0.015,99.9,110.3
80,2021-22,ATL,Atlanta Hawks,22100156,11/9/21,ATL @ UTA,40.13,87.46,0.459,0.459,-0.001,0.388,19.29,33.92,0.569,0.582,27.13,52.38,0.518,0.531,-0.013,1610612762,13,35.08,0.371,0.354,0.017,99.5,107.7
28,2021-22,ATL,Atlanta Hawks,22100152,11/8/21,ATL @ GSW,39.04,86.39,0.452,0.464,-0.012,0.401,20.04,34.61,0.579,0.591,26.57,50.91,0.522,0.538,-0.016,1610612744,12.48,35.48,0.352,0.354,-0.002,100.7,103.9
68,2021-22,ATL,Atlanta Hawks,22100137,11/6/21,ATL @ PHX,39.5,87.04,0.454,0.457,-0.003,0.42,20.83,36.54,0.57,0.58,27.46,53.25,0.516,0.53,-0.014,1610612756,12.04,33.79,0.356,0.35,0.007,102,104.7
81,2021-22,ATL,Atlanta Hawks,22100120,11/4/21,ATL vs. UTA,40.13,87.46,0.459,0.459,-0.001,0.388,19.29,33.92,0.569,0.582,27.13,52.38,0.518,0.531,-0.013,1610612762,13,35.08,0.371,0.354,0.017,99.5,107.7
16,2021-22,ATL,Atlanta Hawks,22100113,11/3/21,ATL @ BKN,40.87,89.26,0.458,0.456,0.002,0.419,21.57,37.43,0.576,0.577,27.17,52.74,0.515,0.526,-0.011,1610612751,13.7,36.52,0.375,0.355,0.02,101.6,109.6
8,2021-22,ATL,Atlanta Hawks,22100097,11/1/21,ATL vs. WAS,42.92,89.13,0.482,0.458,0.023,0.431,22.75,38.38,0.593,0.582,30,55.13,0.544,0.53,0.014,1610612764,12.92,34,0.38,0.355,0.025,99.3,111.7
77,2021-22,ATL,Atlanta Hawks,22100082,10/30/21,ATL @ PHI,40.67,85.46,0.476,0.459,0.017,0.415,21.67,35.5,0.61,0.583,29.17,53.67,0.543,0.528,0.015,1610612755,11.5,31.79,0.362,0.353,0.009,98.4,108.3
9,2021-22,ATL,Atlanta Hawks,22100066,10/28/21,ATL @ WAS,42.92,89.13,0.482,0.458,0.023,0.431,22.75,38.38,0.593,0.582,30,55.13,0.544,0.53,0.014,1610612764,12.92,34,0.38,0.355,0.025,99.3,111.7
37,2021-22,ATL,Atlanta Hawks,22100059,10/27/21,ATL @ NOP,40.96,84.57,0.484,0.465,0.02,0.393,21.3,33.26,0.641,0.586,27.74,48.65,0.57,0.535,0.035,1610612740,13.22,35.91,0.368,0.355,0.013,99.7,110.5
31,2021-22,ATL,Atlanta Hawks,22100043,10/25/21,ATL vs. DET,40.04,86,0.466,0.46,0.005,0.485,24.63,41.75,0.59,0.582,29.71,54.67,0.543,0.53,0.014,1610612765,10.33,31.33,0.33,0.355,-0.026,100.9,111.1
20,2021-22,ATL,Atlanta Hawks,22100027,10/23/21,ATL @ CLE,41.46,86.67,0.478,0.458,0.02,0.44,22.33,38.13,0.586,0.581,28.96,54.21,0.534,0.527,0.007,1610612739,12.5,32.46,0.385,0.354,0.031,98.4,107
66,2021-22,ATL,Atlanta Hawks,22100014,10/21/21,ATL vs. DAL,39.7,85.83,0.463,0.462,0.001,0.445,22.96,38.17,0.601,0.587,27.96,52.39,0.534,0.539,-0.005,1610612742,11.74,33.43,0.351,0.355,-0.004,97.5,106.8
0,2021-22,BKN,Brooklyn Nets,22101216,4/10/22,BKN vs. IND,45.86,89.77,0.511,0.456,0.055,0.477,26.68,42.86,0.622,0.572,32.09,55.09,0.583,0.524,0.058,1610612754,13.77,34.68,0.397,0.35,0.048,100.5,113.9
3,2021-22,BKN,Brooklyn Nets,22101205,4/8/22,BKN vs. CLE,41.46,86.67,0.478,0.458,0.02,0.44,22.33,38.13,0.586,0.581,28.96,54.21,0.534,0.527,0.007,1610612739,12.5,32.46,0.385,0.354,0.031,98.4,107
